,Net In Global,Net Out Global,Nb process http,Nb process php,Nb connection mysql,Disque read global,Disque write global,Cpu http,Cpu php,Cpu mysql,Cpu global,Ram http,Ram php,Ram mysql,Ram global
2020-09-11 22:19:00,0.09,0.12,220.0,78.0,186.0,0.0,1765.45,0.11,18.91,8.62,6.49,1.8,5.1,10.7,25.07
2020-09-11 22:20:00,2.25,375.22,229.0,41.0,66.0,0.0,685.02,0.79,17.16,8.62,7.13,1.8,3.1,10.7,22.46
2020-09-11 22:25:00,83.3,20.08,204.0,35.0,43.0,0.0,330.34,0.06,20.22,8.62,6.68,2.0,3.0,10.7,22.02
2020-09-11 22:26:00,0.08,0.11,258.0,34.0,49.0,0.0,251.93,1.14,18.39,8.62,6.46,1.8,3.0,10.7,22.09
2020-09-11 22:27:00,0.06,0.08,206.0,32.0,42.0,0.0,324.59,0.05,17.84,8.62,6.48,2.2,2.9,10.7,22.09
2020-09-11 22:28:00,0.07,0.1,195.0,33.0,46.0,0.0,271.95,3.81,17.94,8.62,6.08,1.8,3.1,10.7,22.1
2020-09-11 22:29:00,0.09,0.12,239.0,39.0,45.0,0.0,265.98,0.23,22.65,8.62,7.5,2.2,3.4,10.7,22.26
2020-09-11 22:30:00,0.07,0.1,194.0,32.0,48.0,0.0,265.57,1.38,17.39,8.62,6.95,2.0,2.9,10.7,22.42
2020-09-11 22:31:00,0.1,0.13,187.0,33.0,47.0,0.0,367.62,0.59,18.07,8.62,6.67,1.9,2.9,10.7,22.24
2020-09-11 22:32:00,0.08,0.11,233.0,35.0,54.0,0.0,164.72,1.34,18.85,8.62,7.14,1.8,3.1,10.7,22.18
